Aceite de algodón,cucharada
Aceite de cacahuete,cucharada
Aceite de coco,cucharada
Aceite de colza,cucharada
Aceite de germen de trigo,cucharada
Aceite de girasol,cucharada
Aceite de grano de uva,cucharada
Aceite de hígado de bacalao,cucharada
Aceite de lino,cucharada
Aceite de nuez,cucharada
Aceite de oliva,cucharada
Aceite de oliva virgen extra,cucharada
"Aceite de oliva virgen extra, producción ecologica",cucharada
Aceite de palma,cucharada
Aceite de sésamo,cucharada
Aceite de soja,cucharada
"Aceituna negra, con hueso",ración
Aceituna,ración
"Acelga, cruda",ración
"Acelga, en conserva",ración
"Acelgas, hervidas",ración
Acelgas rehogadas con ajos y piñones,ración
"Achicoria, cruda",ración
Aguacate congelado,ración
Aguacate,ración
"Agua, con gas, embotellada",vaso
"Agua mineral, mineralización debil",vaso
Aguardiente,vaso
Agua,vaso
Ajoblanco,ración
Ajo,cucharada
"Ajo, en polvo",pizca
"Ajo, frito",cucharada
Albahaca,pizca
Albaricoque,ración
Albóndigas de lenteja con tomate,ración
Albóndigas de lenteja roja,ración
Albóndigas de pollo con salsa de tomate y coliflor rehogada,ración
Albondigas en conserva,ración
Albondigón,ración
"Alcachofa, cruda",ración
Alcachofas al horno,ración
Alcachofas con calabaza,ración
Alcachofas con jamón y cebolla,ración
Alcachofas en conserva,ración
Alcaparra,cucharada
alimento,unidad
Alioli,cucharada sopera
All i pebre de anguila,ración
Almeja,ración
Almejas en conserva,ración
"Almendra, cruda, con cáscara",puñado
"Almendra, cruda",puñado
"Almendra, frita, salada",puñado
"Almendra, tostada",puñado
Almidón de arroz,cucharada colmada
Almidón de maíz,cucharada colmada
Almidón de trigo,cucharada colmada
Almoixàvena o monjavina,ración
Altramuz,puñado
"Alubia blanca, en conserva",ración
"Alubia blanca, seca, cruda",ración
"Alubia negra, seca, remojada, hervida",ración
Alubias blancas con verduras,ración
Alubias con champiñones,ración
Alubias con morcilla y chorizo,ración
Alubias con vinagreta,ración
"Anacardo, crudo",puñado
Anchoas en aceite vegetal,ración
"Anguila, al horno",ración
"Anguila, cruda",ración
"Anguila, hervida",ración
"Angula, cruda",ración
"Anís, seco",vaso
Aperitivos de trigo,ración
"Apio, crudo",ración
"Apio, en conserva en salmuera",ración
Arandano,ración
"Arenque, ahumado",ración
"Arenque, salado",ración
Arròs amb fesols y naps,ración
Arroz a banda,ración
Arroz a la cubana,ración
Arroz caldoso,ración
Arroz con costra,ración
Arroz con leche,ración
Arroz con leche,unidad individual
Arroz con salsa de calamares,ración
"Arroz, hervido",ración
"Arroz hinchado, para el desayuno, enriquecido",ración
Arroz integral con setas,ración
Arroz integral con verduras,ración
"Arroz integral, crudo",ración
"Arroz integral, hervido",ración
Arroz,ración
Arroz tres delicias,ración
Asado de cerdo con frutos secos,ración
"Atún, al horno",ración
"Atún, al natural",ración
Atún con tomate,ración
"Atún, crudo",ración
Atún en aceite de oliva isabel,ración
Atun en aceite vegetal,ración
Atún en escabeche,ración
"Atún, plancha",ración
"Avellana, cruda, con cáscara",puñado
Avellana,puñado
"Avena, cruda",cucharada colmada
"Avestruz, solomillo, crudo",ración
Azafrán,pizca
Azúcar blanca,cucharadita
"Azúcar, moreno",cucharadita
Bacaladilla,unidad
"Bacalao, ahumado",ración
Bacalao a la montañeta,ración
Bacalao al pil pil,ración
Bacalao con tomate,ración
"Bacalao, crudo",ración
Bacalao económica,ración
"Bacalao, fresco, al horno",ración
"Bacalao, frito",ración
"Bacalao, salado, crudo",ración
"Bacalao, salado, remojado, crudo",ración
"Bacón, ahumado, a la parrilla",ración
"Bacon, crudo, con grasa separable",ración
"Bambú, crudo",ración
"Barra chocolate, tipo ""bounty""",unidad
"Barra de chocolate, tipo ""Kit-kat""",unidad
"Barra de chocolate, tipo ""Mars""",unidad
Barrita cereales con chocolate,ración
Barrita cereales con frutas,ración
Barrita cereales maíz y trigo,ración
Barrita cereales trigo y chocolate,ración
Batido de chocolate,vaso
Batido de fresa,vaso
Batido de soja,vaso
Batido fermentado de soja,vaso
"Batido lácteo de cacao, bajo en calorías",vaso
"Batido lácteo, de fresa, bajo en calorías",vaso
Bebida de soja,vaso
Bebida energética,vaso
Bebida isotónica,vaso
Berberechos en conserva,ración
Berberechos,ración
"Berenjena, frita, en aceite de girasol",ración
Berenjena,ración
Berenjenas rellenas de verduras,ración
Berenjenas rellenas,ración
"Berro, crudo",ración
Besugo,ración
Bienmesabe,ración
"Bígaro, hervido",ración
Bizcocho,ración
Bizcochos de Moya,ración
Bocadillo de chorizo,ración
Bocadillo de jamón cocido,ración
Bocadillo de jamón serrano con tomate y aceite,ración
Bocadillo de jamón serrano,ración
Bocadillo de tortilla francesa,ración
Bocadillo,ración
"Bogavante, hervido",ración
Bogavante,ración
Bolitas de queso,ración
"Bollería, genérico",ración
Bombón,ración
"Boniato/batata, crudo",ración
"Bonito del norte, al vapor",ración
"Bonito del norte, enlatado en aceite de soja",ración
Bonito en aceite vegetal,ración
Bonito encebollado,ración
"Bonito, enlatado en aceite, escurrido",ración
"Boquerón, frito",ración
Boquerón,ración
Borraja con guisantes,ración
Borraja,ración
Borreta,ración
"Breca, cruda",ración
"Brécol, crudo",ración
"Brécol, hervido",ración
Brócoli con bechamel,ración
Butifarra,ración
"Caballa, al horno",ración
"Caballa, cruda",ración
"Caballa, enlatada en aceite, escurrida",ración
"Cabracho, bocanegra o rascacio, crudo",ración
Cabrito estofado,ración
"Cabrito, parte s/e, crudo, con grasa separable",ración
"Cacahuete, crudo, con cáscara",puñado
"Cacahuete, frito, salado",puñado
"Cacahuete, tostado, salado",puñado
"Cacao, en polvo, azucarado, bajo en calorías",vaso
"Cacao en polvo, azucarado",cucharada
"Café, con leche",vaso
"Café, en grano o molido, descafeinado",vaso
"Café, en polvo, sin reconstituir",vaso
"Café, en polvo, soluble",vaso
"Café, infusión, descafeinado",vaso
"Café, infusión",vaso
"Café, sucedáneo, soluble",vaso
"Calabacín, asado",ración
Calabacín,ración
"Calabaza con garbanzos, aguacate y aliño de yogur",ración
"Calabaza, cruda",ración
"Calabaza, hervida",ración
"Calamar, asado",ración
"Calamar, conserva",ración
"Calamar, crudo",ración
Calamares a la plancha,ración
Calamares en aceite vegetal,ración
Calamares en su tinta,ración
Caldo de millo,ración
Caldo vegetal,vaso
Callos de ternera,ración
Camarón,ración
"Canela, en polvo",pizca
Canelones,ración
Cangrejo de río crudo,ración
"Cangrejo, en conserva",ración
Cangrejo,ración
Canonigos,ración
Caqui,ración
Caracol,ración
Caramelo,unidad
Cardo,ración
"Cardo, tallo, en conserva",ración
Carne de cabra ,ración
Carne picada,ración
"Carpa, al horno",ración
"Carpa, cruda",ración
"Castaña, cruda",puñado
"Castaña, tostada",puñado
Cava,vaso
Caviar,ración
"Cebada, cruda",ración
"Cebolla, asada",ración
"Cebolla, hervida",ración
Cebolla,ración
"Cebollino, crudo",pizca
Cecina,ración
"Centeno, crudo",ración
"Centollo, crudo",ración
"Cerdo, chuleta, crudo",ración
"Cerdo, costilla, crudo",ración
"Cerdo, lomo, asado",ración
"Cerdo, lomo, crudo",ración
"Cerdo, panceta, cruda",ración
"Cerdo, parte sin especificar",ración
"Cerdo, pierna, cruda, con grasa separable",ración
"Cerdo, solomillo, asado",ración
"Cerdo, solomillo, crudo",ración
Cereales base trigo y chocolate,ración
Cereales desayuno base de arroz chocolateado,ración
"Cereales desayuno base de arroz, trigo y fruta",ración
Cereales desayuno base de arroz y miel,ración
"Cereales desayuno base de maíz, trigo y avena",ración
Cereales desayuno base de maíz y miel,ración
Cereales desayuno base de maíz y trigo,ración
"Cereales desayuno base de trigo, avena, maíz, miel y nueces",ración
"Cereales desayuno base de trigo, avena, maiz y miel",ración
Cereales desayuno base de trigo azucarado,ración
Cereales desayuno base de trigo y arroz,ración
Cereales desayuno base de trigo y frutas,ración
Cereales desayuno base de trigo y miel,ración
Cereales desayuno base muesli,ración
"Cereales desayuno, maíz azucarado",ración
"Cereales, en polvo, solubles (eko)",ración
"Cereales para el desayuno, ricos en fibra, tipo ""all-bran""",ración
Cereza,ración
"Cerveza, baja en alcohol",vaso
Cerveza con alcohol,vaso
"Cerveza, oscura, 8°- 9°",vaso
Cerveza sin alcohol,vaso
Champiñones en conserva,ración
Champiñones rellenos,ración
Champiñon,ración
"Chayote, crudo",ración
Chicharro al horno,ración
"Chicle, sin azúcar",ración
"Chile, rojo",cucharada
"Chile, verde",cucharada
Chipiron,ración
Chirimoya,ración
Chirla,ración
Chistorra,ración
Chocolate blanco,ración
Chocolate con leche,ración
Chocolate con leche y almendras,ración
Chocolate con leche y arroz,ración
Chocolate con nueces de macadamia,ración
"Chocolate negro, con almendras",ración
"Chocolate negro, con azúcar",ración
"Chocolate, negro",ración
Choped pork,ración
Chorizo,ración
"Chufa, cruda",puñado
Chuletas de cochino,ración
Chuletitas de conejo al horno,ración
Churro,ración
Churros de pescado,ración
"Ciervo, parte s/e, crudo, con grasa separable",ración
Cigala,ración
"Ciruela, con piel, cruda",ración
"Ciruela, sin piel",ración
Coca de llanda,ración
Coca de tomate,ración
Cocido de alubias blancas con brécol,ración
"Coco, desecado",cucharada
"Coco, fresco",ración
"Col blanca, cruda",ración
"Col de bruselas, cruda",ración
Coles de bruselas salteadas,ración
"Coliflor, congelada, cruda",ración
Coliflor con refrito,ración
"Coliflor, hervida",ración
Col lombarda con manzana y champiñones,ración
"Col lombarda, hervida",ración
"Col rizada, cruda",ración
Comino,pizca
Complejo vitaminico,ración
Coñac,vaso
Conejo al horno con patatas panaderas,ración
"Conejo de granja, carne, cruda",ración
Conejo en salmorejo,ración
"Conejo, entero, estofado",ración
"Confitura, frutas s/e, baja en calorías",cucharada
Congrio,ración
"Corazón, de cerdo, crudo",ración
"Corazón de cordero, crudo",ración
"Corazón de pollo, crudo",ración
"Corazón, de vaca/buey, cocido",ración
"Corazón, de vaca/buey, crudo",ración
"Corazon de vaca, crudo",ración
"Cordero, costilla, crudo",ración
"Cordero, parte sin especificar",ración
"Cordero, pierna, con grasa, asada",ración
Corteza de trigo,ración
Crema catalana,ración
Crema catalana,unidad individual
Crema de almendras,puñado
Crema de cacahuete,puñado
"Crema de calabaza, zanahoria, naranja y jengibre",ración
Crema de champiñones,ración
"Crema de chocolate, baja en calorías",cucharada
Crema de chocolate con avellanas,cucharada
Crema de chocolate y nata,cucharada
Crema de coco,cucharada
Crema de vainilla y mousse de chocolate,cucharada
Crema de verduras,ración
Crema de zanahoria,ración
Crema fría de pepino,ración
Crema inglesa,cucharada
Crema pastelera,cucharada
Cremoso san millan,unidad individual
Croissant de chocolate,ración
Croissant,ración
Croquetas de jamón,ración
Croquetas de pescado,ración
Croquetas de pollo,ración
Croquetas de zanahorias,ración
Cuajada,unidad individual
Cubata,vaso
Cubito de caldo,pizca
Curry,pizca
Cuscús al azafrán con berenjena y pimiento asados,ración
Cuscús de pollo y verdura,ración
Dátil,ración
"Donut, de chocolate",ración
Donut,ración
Dorada a la sal,ración
"Dorada o sama, cruda",ración
"Dorada o sama, plancha",ración
"Dorada, plancha",ración
Empanada de carne,ración
Empanadilla,ración
Endibia,ración
"Eneldo, seco",pizca
Ensaimada,ración
Ensalada campera,ración
Ensalada de alubias,ración
Ensalada de arroz y lentejas,ración
Ensalada de berros,ración
Ensalada de garbanzos con nueces,ración
Ensalada de garbanzos y tomate,ración
"Ensalada de lechuga, tomate y cebolla",ración
Ensalada de lentejas,ración
"Ensalada de pasta integral con atún, queso fresco",ración
"Ensalada de pasta integral con atún, queso fresco y jamón cocido",ración
Ensalada de pescado con arroz,ración
Ensalada de pollo,ración
Ensalada de queso fresco y salmón ahumado,ración
"Ensalada de quinoa, pollo y verduras",ración
Ensalada de rúcula y queso ricota,ración
"Ensalada de sardinas, tomate y huevo duro",ración
"Ensalada de tomate, aceitunas negras y atún",ración
"Ensalada griega de espinacas, queso de cabra, naranja y pistachos",ración
Ensalada mixta con huevo y atún,ración
Ensalada nizarda,ración
Ensalada,ración
Ensaladilla rusa,ración
Escaldón de gofio y leche,ración
Escarola,ración
Esgarraet,ración
Espagueti a la carbonara,ración
Espaguetis a la carbonara vegetal,ración
Espaguetis al pesto,ración
Espaguetis con gambas,ración
Espaguetis integrales con verduras,ración
Esparragos blancos en conserva,ración
"Espárrago, verde",ración
"Espinaca, en conserva",ración
"Espinaca, hervida",ración
"Espinaca, picada, congelada, cruda",ración
Espinacas salteadas con pasas y piñones,ración
Espirales de lenteja roja con berenjena y albahaca,ración
Esqueixada,ración
Estofado de pavo y verduras,ración
Estofado de ternera con patatas,ración
Fabada,ración
Fajitas de seitán,ración
"Faneca, cruda",ración
Fartons,unidad
Fideuá con marisco,ración
Fideuá,ración
Filetes de pechuga de pollo marinados en limón y romero,ración
Filetes de pechuga de pollo marinados en mostaza y limón,ración
Flamenquín,ración
"Flan de huevo, bajo en calorías",unidad individual
Flan de huevo,ración
Flan de huevo,unidad individual
"Fletan, crudo",ración
Foie gras,ración
"Frambuesa, cruda",ración
Frangollo canario,ración
Fresa,ración
Fritos de maíz,ración
Frittata de brócoli y tomates cherry,ración
Frittata de espinacas y queso de cabra,ración
Fructosa,cucharadita
Frutos secos,puñado
Fuet,ración
"Galleta, barquillo, con jalea de frutas",ración
"Galleta, cubierta de chocolate",ración
"Galleta, genérico",ración
Galleta salada,ración
"Galletas, con chocolate, tipo ""cookies""",ración
"Galletas, de mantequilla",ración
Galletas integrales,ración
"Galletas saladas, con queso",ración
Galletas tipo maria,ración
"Galleta ,tipo ""digestiva"", con chocolate",ración
"Galleta, tipo ""Digestiva""",ración
"Gallina, entera, cruda",ración
Gallo,ración
"Gamba, hervida",ración
"Gamba quisquilla, congelada",ración
"Gamba roja, cruda",ración
Gambones con limón y perejil,ración
"Garbanzo, en conserva",ración
"Garbanzo, hervido",ración
Garbanzos al curry,ración
Garbanzos con brécol y parmesano,ración
"Garbanzo, seco, crudo",ración
Garbanzos salteados con espinacas,ración
Gazpacho,ración
Gelatina,cucharada sopera
Germen de trigo,cucharada colmada
Ginebra,vaso
Gofio escaldado,ración
Gofio,ración
Gomasio,ración
"Gominola, genérica",unidad
Granada,ración
Grasa de pollo,ración
Grelo,ración
"Grosella, cruda",ración
"Grosella negra, cruda",ración
"Guayaba, enlatada en almíbar",ración
"Guayaba, sin piel, cruda",ración
"Guindilla, en polvo",pizca
"Guindilla, picante",pizca
"Guisante, congelado, crudo",ración
"Guisante, congelado, hervido",ración
"Guisante, seco, crudo",ración
Guisantes en conserva,ración
Guiso de ternera con patata y zanahoria,ración
Gusanito,ración
"Haba, fresca",ración
"Haba, frita",ración
Haba frita,ración
"Habas con ajetes, setas y gambas",ración
"Haba, seca",ración
"Haba, seca, remojada, hervida",ración
Hamburguesa de pollo,ración
Hamburguesas de atún,ración
Hamburguesas de lenteja y mijo,ración
Hamburguesas de verduras,ración
"Harina de avena, cocida en agua",cucharada colmada
Harina de avena,cucharada colmada
Harina de cebada,cucharada colmada
Harina de centeno,cucharada colmada
Harina de maíz,cucharada colmada
Harina de soja,puñado
Harina de trigo,cucharada colmada
"Harina de trigo, integral",cucharada colmada
Helado de chocolate,ración
Helado de chocolate,unidad individual
Helado de fresa,ración
Helado de fresa,unidad individual
Helado de nata,ración
Helado de nata,unidad individual
"Hígado, de cerdo, crudo",ración
"Higado de pollo, crudo",ración
"Hígado, de vaca/buey, crudo",ración
Higos y brevas,unidad
Hinojo,pizca
Hojaldre,ración
Horchata de chufa,ración
Horchata,vaso
"Huevo de codorniz, entero, crudo",unidad
"Huevo de gallina, clara, cruda",unidad
"Huevo de gallina, escalfado",ración
"Huevo de gallina, escalfado",unidad
Huevo de gallina fresco,unidad
"Huevo de gallina, frito",ración
