cassoulet,french cuisine
soupe au pistou,cold sauce
Crepe de alforfón,pancake made with buckwheat flour
raclette,A Swiss national dish
Caracoles a la llauna,
Borsch frío,chilled soup made from beets
Mermelada de coco,"jam made from a base of coconut milk, eggs and sugar"
Ahle Wurst,"kind of hard pork sausage made in northern Hesse, Germany"
Carbonade,traditional sweet-sour beef and onion stew made with beer
Rheintaler Ribelmais,
Tarta de arroz,"rice pie, typically from the Dutch or Belgian province of Limburg"
Mars frito,Deep fried Scottish confectionery
faláfel,traditional Middle Eastern food: deep-fried balls of ground chickpeas or fava beans
Tzimmes,
gulash,"Hungarian dish consisting of soup or stew of meat and vegetables, seasoned with paprika and/or other spices"
paella,Valencian rice dish
Zwetschgenknödel,
Zwiebeldinnele,Specialty of the Swabian-Alemannic kitchen
Zwiebelrostbraten,
Zürcher Geschnetzeltes,Swiss dish of veal in wine and cream sauce
Älplermagronen,dish from the Swiss Alps
queso quark,dairy product
Mantı,dish
Salzburger Nockerl,austrian sweet soufflé
Žganci,
Biryani,rice dish from the Indian subcontinent
éclair,oblong pastry made with choux dough filled with a cream and topped with icing
ensalada rusa,salad dish of Russian origin
Stoemp,Belgian dish with stomped potatoes and vegetables
Schlesisches Himmelreich,
Linsen mit Spätzle,traditional Swabian dish
Backerbse,
Backhendl,
Poutine,Québécois dish of fresh cut fries topped with cheese curds and hot brown gravy
Aiwowo,traditional Chinese dessert
papa a la huancaína,"Peruvian appetizer of boiled yellow potatoes in a spicy, creamy sauce"
Onsen tamago,egg dish
Chinmi,Japanese delicacies
nachos,Tex-Mex dish
amuse-gueule,"single, bite-sized hors d’œuvre"
gimbap,seaweed roll
Pizza Margarita,"typical Neapolitan pizza topped with tomato, mozzarella, and fresh basil"
Baked Alaska,dessert dish of ice cream and meringue
hújiāo bǐng,Chinese baked bun
Utopenec,Czech food item
manjar blanco,"sweet dessert commonly made with milk or cream and sugar, thickened and often flavoured with almonds"
bánh bao,Vietnamese bun
bánh chưng,Vietnamese dish
Jägerschnitzel,"classic, fried meat dish"
Panhas,traditional Dutch food
Saumagen,
pizza hawaiana,"pizza variety, usually topped with pineapple pieces and ham"
frijoles refritos,Mexican dish
Mititei,Gastronomía rumana
romeritos,typical Mexican dish
Charoset,Traditional dish served at Seder
Lampredotto,Florentine dish
Shkedei marak,
Cacciatore,Italian style of cuisine
Cocido de pelotas,
Chicken paprikash,dish
bibimbap,Korean rice bowl dish
Muffuletta,bread and sandwich type
Schäufele,
pimientos rellenos,dish involving filling the cavities of a bell pepper with other food
Gujeolpan,Korean dish
hwajeon,flower cakes
Żurek,traditional West Slavic soup
yaksik,"Korean dessert of glutinous rice, chestnuts, jujubes, and pine nuts"
Wolgwachae,Korean food
Salchicha pequeña en salchicha grande,
Jalea de hierba,jelly-like dessert eaten in East Asia
japchae,Korean dish of stir-fried glass noodles and vegetables
paprikash,Hungarian dish
Peixinhos da horta,Portuguese fried vegetable-based dish
mixed pickle,pickles made from a variety of vegetables mixed in the same pickling process
Badische Schneckensuppe,
Bayrisch Kraut,
arroz jollof,one-pot rice dish popular in many West African countries.
Berner Platte,
Bouillabaisse,traditional Provençal fish stew
bibeleskaes,
rosbif,traditional English dish of beef which is roasted
Cheese on toast,snack
Osechi,assortment of food delicacies celebrating Japanese New Year
Mohr im Hemd,
Leberknödel,Traditional dish
Fleckerl,
Krautfleckerl,
Mont-d'Or chaud,hot cheese dish
Hochzeitssuppe,food
Blaue Zipfel,
Bobotie,South African dish
alimento vegetal,food not including any animal by-products in its composition or manufacturing process
Takoyaki,ball-shaped Japanese snack with octopus
bossam,boiled pork wraps
svele,Norwegian food similar to pancake
galantina,stuffed meat dish from French cuisine
Schlachteplatte,
Fufu,pounded swallow made from fresh or fermented cassava roots and often eaten alongside various soups
gachas,Andalusian staple dish
Avial,"dish originating from Kerala, India"
bocconotto,type of pastry in Italia
quibebé,semi-sweet winter squash stew
pig jaw,part of a pig head
salteña,Bolivian meat pastry
Fabada,Spanish bean stew
Amatriciana,amatriciana
bulz,dish
Ganca,Dish of corn
Butterschnitzel,dish
botvinia,chilled beet soup of Russian origin
Ensalada de pasta,salad-like dish
Ossobuco,Lombard dish
Chana masala,chickpea dish from the Indian subcontinent
Chartreuse,French dish of vegetables or meat tightly wrapped in vegetable leaves and cooked in a mould
Chawanmushi,Japanese egg custard dish
arroz frito,cooked rice stir-fried with eggs and other ingredients
balti,"type of curry cooked and eaten in a thin, pressed-steel wok called a ""balti bowl"""
Tong zi dan,"traditional dish of Dongyang, Zhejiang, China"
