svele,"Svele (plural: sveler (indefinite), svelene (definite)), also known as lapp (plural: lapper), is a Norwegian batter-based cake. By size and texture they may bear some resemblance to American pancakes, but are usually eaten for afternoon coffee or as a snack between meals, served with butter and either sugar or brunost, folded in half to the shape of a crescent. Baking soda and salt of hartshorn are used as rising agent in svele, which give this cake its characteristic flavour. Recipes may differ slightly according to region or to house recipes, but usually include egg, sugar, kefir, wheat flour, and butter in addition to the above-mentioned rising agents. The svele is fried on a griddle or in a lightly buttered frying pan.
The svele is typical to the Møre og Romsdal region where since 1971 sveler have been served on board the ferries that connect communities across fjords and on islands. This tradition has spread throughout Western Norway, where svele is largely associated with ferry travels."
Takoyaki,"Takoyaki (たこ焼き or 蛸焼)  is a ball-shaped Japanese snack made of a wheat flour-based batter and cooked in a special molded pan. It is typically filled with minced or diced octopus (tako), tempura scraps (tenkasu), pickled ginger (beni shoga), and green onion (negi). The balls are brushed with takoyaki sauce (similar to Worcestershire sauce) and mayonnaise, and then sprinkled with green laver (aonori) and shavings of dried bonito (katsuobushi).
Yaki comes from yaku (焼く), which is one of the cooking methods in Japanese cuisine, meaning 'to grill', and can be found in the names of other dishes in Japanese cuisine such as okonomiyaki and ikayaki (other famous Osakan dishes).

"
bossam,boiled pork wraps
galantina,"Galantamine is used for the treatment of cognitive decline in mild to moderate Alzheimer's disease and various other memory impairments. It is an alkaloid that has been isolated from the bulbs and flowers of Galanthus nivalis (Common snowdrop), Galanthus caucasicus (Caucasian snowdrop), Galanthus woronowii (Voronov's snowdrop), and some other members of the family Amaryllidaceae, such as Narcissus (daffodil), Leucojum aestivum (snowflake), and Lycoris including Lycoris radiata (red spider lily).  It can also be produced synthetically.
Studies of usage in modern medicine began in the Soviet Union in the 1950s. Galantamine was isolated for the first time from bulbs of Galanthus nivalis (common snowdrop) by the Bulgarian chemist D. Paskov and his team in 1956. The active ingredient was extracted, identified, and studied, in particular in relation to its acetylcholinesterase (AChE)-inhibiting properties. The first industrial process was developed in 1959. However, it was not until the 1990s when full-scale synthesis was upscaled and optimized.Since the alkaloid was isolated from a botanical source, it only had contents around 0.1%, which caused the yield to also be extremely low—in the single digits."
Schlachteplatte,"A Schlachteplatte, Schlachtplatte, Schlachtschüssel (Southern German) or Metzgete (Swiss and southwestern part of Baden-Württemberg in Germany) is a hearty German dish that primarily consists of boiled belly pork (Kesselfleisch) and freshly cooked Blutwurst and Leberwurst sausages. The cooking process produces sausage juices which, together with any split sausages, are used as a soup known as Metzelsuppe. As a result, in many places, e.g. in parts of the Palatinate, the entire festival and the meal in particular are known as Metzelsupp.
Common accompaniments to a Schlachtplatte are sauerkraut and bread or potatoes or, in South Germany, potato pancakes (Dotsch or Reiberdatschi). Other elements might be fresh Bratwurst and Mettwurst or raw, spiced bratwurst filling. In Rhinehessen it is also common to enrich the dish with a  sauce from part of the pig's blood (Schweinepfeffer or Schwarz Brie).
The word is derived from schlachten, ""to slaughter"", and Platte, ""dish"", because, traditionally, it is only eaten on the day of slaughter; before the invention of refrigerators blood and sensitive organs like liver had to be prepared straight away. Meat, which did not have to be consumed immediately was preserved by salting, drying and smoking. The slaughtering day offered a rare opportunity to eat fresh meat which explains why the Schlachtplatte is a rather lavish meal.
Originally these slaughtering days took place mainly in the autumn. This meant that not so many animals had to be fed over the winter, the meat could be preserved for longer in the cooler temperatures and the farmers had more time after the last harvest for turning it into ham and sausages which could then be smoked over the winter hearth fire."
Fufu,pounded swallow made from fresh or fermented cassava roots and often eaten alongside various soups
cassoulet,"Cassoulet (, also UK: , US: ; French: [kasulɛ]; from Occitan caçolet [kasuˈlet] (listen) and cognates with Spanish: cazoleta and Catalan: cassolet) is a rich, slow-cooked casserole containing meat (typically pork sausages, goose, duck and sometimes mutton), pork skin (couennes) and white beans (haricots blancs), originating in southern France. It is named after its traditional cooking vessel, the casserole, a deep, round, earthenware pot with slanting sides.The dish is said to have originated in the town of Castelnaudary, and is particularly popular in the neighboring towns of Toulouse and Carcassonne. It is associated with the region once known as the province of Languedoc. An organization called The Grand Brotherhood of the Cassoulet of Castelnaudary (French: La Grande Confrérie du Cassoulet de Castelnaudary), has organized competitions and fairs featuring cassoulet every year since 1999."
Mermelada de coco,"Coconut jam, also known as kaya jam or simply kaya, is a sweet spread made from a base of coconut milk, eggs and sugar. It is popular throughout Southeast Asia."
Borsch frío,"Borscht (English:   (listen)) is a sour soup common in Eastern Europe and Northern Asia. In English, the word ""borscht"" is most often associated with the soup's variant of Ukrainian origin, made with red beetroots as one of the main ingredients, which give the dish its distinctive red color. The same name, however, is also used for a wide selection of sour-tasting soups without beetroots, such as sorrel-based green borscht, rye-based white borscht, and cabbage borscht.
Borscht derives from an ancient soup originally cooked from pickled stems, leaves and umbels of common hogweed (Heracleum sphondylium), a herbaceous plant growing in damp meadows, which lent the dish its Slavic name. With time, it evolved into a diverse array of tart soups, among which the Ukrainian beet-based red borscht has become the most popular. It is typically made by combining meat or bone stock with sautéed vegetables, which – as well as beetroots – usually include cabbage, carrots, onions, potatoes, and tomatoes. Depending on the recipe, borscht may include meat or fish, or be purely vegetarian; it may be served either hot or cold, and it may range from a hearty one-pot meal to a clear broth or a smooth drink. It is often served with smetana or sour cream, hard-boiled eggs or potatoes, but there exists an ample choice of more involved garnishes and side dishes, such as uszka or pampushky, that can be served with the soup.
Its popularity has spread throughout Eastern Europe and – by way of migration away from the Russian Empire – to other continents. In North America, borscht is often linked with either Jews or Mennonites, the groups who first brought it there from Europe. Several ethnic groups claim borscht, in its various local guises, as their own national dish consumed as part of ritual meals within Eastern Orthodox, Greek Catholic, Roman Catholic, and Jewish religious traditions.
In 2022, the United Nations Educational, Scientific, and Cultural Organization (UNESCO) announced that it had placed borscht on the List of Intangible Cultural Heritage in Need of Urgent Safeguarding due to the risk that Russia's invasion posed to the soup's status as an element of Ukraine's cultural heritage. The new status means Ukraine could now apply for special funds to finance projects promoting and protecting the dish."
raclette,"Galette (from the Norman word gale, meaning ""flat cake"") is a term used in French cuisine to designate various types of flat round or freeform crusty cakes, or, in the case of a Breton galette (French: Galette bretonne [galɛt bʁətɔn]; Breton: Krampouezhenn gwinizh du), a pancake made with buckwheat flour usually with a savoury filling. Of the cake type of galette, one notable variety is the galette des Rois (King cake) eaten on the day of Epiphany. In French Canada the term galette is usually applied to pastries best described as large cookies."
