Abandono emocional,"Emotional abandonment is a subjective emotional state in which people feel undesired, left behind, insecure, or discarded.  People experiencing emotional abandonment may feel at a loss. They may feel like they have been cut off from a crucial source of sustenance or feel withdrawn, either suddenly or through a process of erosion. Emotional abandonment can manifest through loss or separation from a loved one.Feeling rejected, which is a significant component of emotional abandonment which has a biological impact in that it activates the physical pain centers of the brain and can leave an emotional imprint in the brain's warning system. Emotional abandonment has been a staple of poetry and literature since ancient times.",Root -> Categoría:Emociones
Aburrimiento,"In conventional usage, boredom is an emotional and occasionally psychological state experienced when an individual is left without anything in particular to do, is not interested in their surroundings, or feels that a day or period is dull or tedious. It is also understood by scholars as a modern phenomenon which has a cultural dimension. ""There is no universally accepted definition of boredom. But whatever it is, researchers argue, it is not simply another name for depression or apathy. It seems to be a specific mental state that people find unpleasant—a lack of stimulation that leaves them craving relief, with a host of behavioral, medical and social consequences."" According to BBC News, boredom ""...can be a dangerous and disruptive state of mind that damages your health""; yet research ""...suggest[s] that without boredom we couldn't achieve our creative feats.""In Experience Without Qualities: Boredom and Modernity, Elizabeth Goodstein traces the modern discourse on boredom through literary, philosophical, and sociological texts to find that as ""a discursively articulated phenomenon...boredom is at once objective and subjective, emotion and intellectualization—not just a response to the modern world, but also a historically constituted strategy for coping with its discontents."" In both conceptions, boredom has to do fundamentally with an experience of time—such as experiencing the slowness of time—and problems of meaning.",Root -> Categoría:Emociones
Adoración,"Worship is an act of religious devotion usually directed towards a deity. It may involve one or more of activities such as veneration, adoration, and praise. For many, worship is not about an emotion, it is more about a recognition of a God. An act of worship may be performed individually, in an informal or formal group, or by a designated leader. Such acts may involve honoring.",Root -> Categoría:Emociones
Afectividad,"Affect, in psychology, refers to the underlying experience of feeling, emotion or mood.",Root -> Categoría:Emociones
Aflicción animal,"Grief is “a multifaceted response to loss, particularly to the loss of someone or something that has died, to which a bond or affection was formed."" Grief is possible in other animals, known as animal grief, similar to Survivor's Guilt in Humans. In the late 19th century, Charles Darwin published The Expression of the Emotions in Man and Animals, in which he argued that all humans, including other animals, show emotion through remarkably similar behaviors.
However, grief wasn't the focus of animal research until the late 20th and early 21st century. Marc Bekoff, an American biologist, has spent his time researching emotions in animals, including grief. Studies conducted by Bekoff and other scientists implicate that the following animals may experience grief: wolves, chimpanzees, elephants, dolphins, whales, giraffes, and others.",Root -> Categoría:Emociones
Alarmismo,"Alarmism is excessive or exaggerated alarm of a real or imagined threat. Alarmism connotes attempts to excite fears or giving warnings of great danger in a manner that is amplified, overemphasized or unwarranted. In the news media, alarmism can often be found in the form of yellow journalism where reports sensationalise a story to exaggerate small risks.",Root -> Categoría:Emociones
Alegría,"The word joy refers to the emotion evoked by well-being, success, or good fortune, and is typically associated with feelings of intense, long lasting happiness.",Root -> Categoría:Emociones
Alivio,"Relief is a positive emotion experienced when something unpleasant, painful or distressing has not happened or has come to an end.Relief is often accompanied with a sigh, which signals emotional transition. People from all over the world can recognise sighs with relief, and judge relief to be a fundamental emotion.In a 2017 study published in Psychology, relief is suggested to be an emotion that can reinforce anxiety through avoidance, or be an adaptive coping mechanism when stressed or frustrated.",Root -> Categoría:Emociones
Ambivalencia,"Ambivalence is a state of having simultaneous conflicting reactions, beliefs, or feelings towards some object. Stated another way, ambivalence is the experience of having an attitude towards someone or something that contains both positively and negatively valenced components. The term also refers to situations where ""mixed feelings"" of a more general sort are experienced, or where a person experiences uncertainty or indecisiveness.
Although attitudes tend to guide attitude-relevant behavior, those held with ambivalence tend to do so to a lesser extent. The less certain an individual is in their attitude, the more impressionable it becomes, hence making future actions less predictable and/or less decisive.  Ambivalent attitudes are also more susceptible to transient information (e.g., mood), which can result in a more malleable evaluation. However, since ambivalent people think more about attitude-relevant information, they also tend to be more persuaded by (compelling) attitude-relevant information than less-ambivalent people.Explicit ambivalence may or may not be experienced as psychologically unpleasant when the positive and negative aspects of a subject are both present in a person's mind at the same time. Psychologically uncomfortable ambivalence, also known as cognitive dissonance, can lead to avoidance, procrastination, or to deliberate attempts to resolve the ambivalence. People experience the greatest discomfort from their ambivalence at the time when the situation requires a decision to be made. People are aware of their ambivalence to varying degrees, so the effects of an ambivalent state vary across individuals and situations. For this reason, researchers have considered two forms of ambivalence, only one of which is subjectively experienced as a state of conflict.",Root -> Categoría:Emociones
Amor,"Love encompasses a range of strong and positive emotional and mental states, from the most sublime virtue or good habit, the deepest interpersonal affection, to the simplest pleasure. An example of this range of meanings is that the love of a mother differs from the love of a spouse, which differs from the love for food. Most commonly, love refers to a feeling of a strong attraction and emotional attachment.Love is considered to be both positive and negative, with its virtue representing human kindness, compassion, and affection, as ""the unselfish loyal and benevolent concern for the good of another"" and its vice representing human moral flaw, akin to vanity, selfishness, amour-propre, and egotism, as potentially leading people into a type of mania, obsessiveness or codependency. It may also describe compassionate and affectionate actions towards other humans, one's self, or animals. In its various forms, love acts as a major facilitator of interpersonal relationships and, owing to its central psychological importance, is one of the most common themes in the creative arts. Love has been postulated to be a function that keeps human beings together against menaces and to facilitate the continuation of the species.Ancient Greek philosophers identified six forms of love: essentially, familial love (in Greek, Storge), friendly love or platonic love (Philia), romantic love (Eros), self-love (Philautia), guest love (Xenia), and divine love (Agape). Modern authors have distinguished further varieties of love: unrequited love, empty love, companionate love, consummate love, infatuated love, self-love, and courtly love. Numerous cultures have also distinguished Ren, Yuanfen, Mamihlapinatapai, Cafuné, Kama, Bhakti, Mettā, Ishq, Chesed, Amore, Charity, Saudade (and other variants or symbioses of these states), as culturally unique words, definitions, or expressions of love in regards to a specified ""moments"" currently lacking in the English language.Scientific research on emotion has increased significantly over the past two decades. The color wheel theory of love defines three primary, three secondary and nine tertiary love styles, describing them in terms of the traditional color wheel. The triangular theory of love suggests ""intimacy, passion and commitment"" are core components of love. Love has additional religious or spiritual meaning. This diversity of uses and meanings combined with the complexity of the feelings involved makes love unusually difficult to consistently define, compared to other emotional states.",Root -> Categoría:Emociones
Angustia,"Anguish (from the Latin angustia ""distress"") is ""extreme unhappiness caused by physical or mental suffering."" The feeling of anguish is typically preceded by a tragedy or event that has a profound meaning to the being in question. Anguish can be felt physically or mentally (often referred to as emotional distress).
Anguish is also a term used in philosophy, often as a synonym for angst. It is a paramount feature of existentialist philosophy, in which anguish is often understood as the experience of an utterly free being in a world with zero absolutes (existential despair). In the theology of Søren Kierkegaard, it refers to a being with total free will who is in a constant state of spiritual fear in the face of their unlimited freedom.",Root -> Categoría:Emociones
Ansiedad,"Anxiety is an emotion which is characterized by an unpleasant state of inner turmoil and it includes subjectively unpleasant feelings of dread over anticipated events. It is often accompanied by nervous behavior such as pacing back and forth, somatic complaints, and rumination.Anxiety is a feeling of uneasiness and worry, usually generalized and unfocused as an overreaction to a situation that is only subjectively seen as menacing. It is often accompanied by muscular tension, restlessness, fatigue, inability to catch one's breath, tightness in the abdominal region, nausea, and problems in concentration. Anxiety is closely related to fear, which is a response to a real or perceived immediate threat (fight or flight response); anxiety involves the expectation of future threat including dread. People facing anxiety may withdraw from situations which have provoked anxiety in the past.Though anxiety is a typical human response, when excessive or persisting beyond developmentally appropriate periods it may be diagnosed as an anxiety disorder. There are multiple forms of anxiety disorder (such as generalized anxiety disorder and obsessive compulsive disorder) with specific clinical definitions. Part of the definition of an anxiety disorder, which distinguishes it from every day anxiety, is that it is persistent, typically lasting 6 months or more, although the criterion for duration is intended as a general guide with allowance for some degree of flexibility and is sometimes of shorter duration in children.",Root -> Categoría:Emociones
Antipatía,"Antipathy is a dislike for something or somebody, the opposite of sympathy. While antipathy may be induced by experience, it sometimes exists without a rational cause-and-effect explanation being present to the individuals involved.Thus, the origin of antipathy has been subject to various philosophical and psychological explanations, which some people find convincing and others regard as highly speculative. The exploration of a philosophical aspect for antipathy has been found in an essay by John Locke, an early modern  17th century philosopher.",Root -> Categoría:Emociones
Magda B. Arnold,"Magda Blondiau Arnold (born Magda Barta-Blondau; December 22, 1903 – October 5, 2002) was a psychologist. The first contemporary theorist to develop appraisal theory of emotions, which moved away from ""feeling"" theories (e.g. James-Lange theory) and ""behaviorist"" theories (e.g. Cannon-Bard theory) toward the cognitive approach. She also created a new method of scoring the Thematic Apperception Test called Story Sequence Analysis.           
She was a 1957 Guggenheim Fellow.",Root -> Categoría:Emociones
Arousal,"Arousal is the physiological and psychological state of being awoken or of sense organs stimulated to a point of perception. It involves activation of the ascending reticular activating system (ARAS) in the brain, which mediates wakefulness, the autonomic nervous system, and the endocrine system, leading to increased heart rate and blood pressure and a condition of sensory alertness, desire, mobility, and readiness to respond.
Arousal is mediated by several neural systems. Wakefulness is regulated by the ARAS, which is composed of projections from five major neurotransmitter systems that originate in the brainstem and form connections extending throughout the cortex; activity within the ARAS is regulated by neurons that release the neurotransmitters acetylcholine, norepinephrine, dopamine, histamine, and serotonin. Activation of these neurons produces an increase in cortical activity and subsequently alertness.
Arousal is important in regulating consciousness, attention, alertness, and information processing. It is crucial for motivating certain behaviours, such as mobility, the pursuit of nutrition, the fight-or-flight response and sexual activity (the arousal phase of Masters and Johnson's human sexual response cycle). It holds significance within emotion and has been included in theories such as the James-Lange theory of emotion. According to Hans Eysenck, differences in baseline arousal level lead people to be extraverts or introverts.
The Yerkes-Dodson law states that an optimal level of arousal for performance exists, and too little or too much arousal can adversely affect task performance. One interpretation of the Yerkes-Dodson Law is the Easterbrook cue-utilisation hypothesis. Easterbrook states that an increase of arousal decreases the number.",Root -> Categoría:Emociones
