Categoría:Alimentos fermentados,Wikimedia Commons alberga una categoría multimedia sobre Alimentos fermentados.,Root -> Categoría:Alimentos_por_tipo
Categoría:Alimentos militares,Wikimedia Commons alberga una categoría multimedia sobre Alimentos militares.,Root -> Categoría:Alimentos_por_tipo
Categoría:Alimentos probióticos,Wikimedia Commons alberga una categoría multimedia sobre Alimentos probióticos.,Root -> Categoría:Alimentos_por_tipo
Categoría:Comida rápida,Wikimedia Commons alberga una categoría multimedia sobre Comida rápida.,Root -> Categoría:Alimentos_por_tipo
Callos a la madrileña,"Los callos a la madrileña son uno de los platos más típicos del invierno madrileño (España).[1]​ Se elabora principalmente con tripas de vaca que se ofrecen por regla general en las casquerías existentes cerca de las carnicerías de la capital madrileña.[2]​ Los callos son entendidos como pedazos de estómago de vaca o de carnero que se comen guisados. Es un plato que se suele servir caliente en una cacerola de barro y acompañados de rodajas de chorizo (chorizo de Cantimpalos) y morcilla,[3]​ y jamón entreverado. Se considera un plato relativamente barato debido al bajo coste de sus ingredientes. Junto con el cocido madrileño es un plato identificativo de la gastronomía de Madrid.[3]​[2]​",Root -> Categoría:Platos_de_España
Capirotada,"La capirotada era un plato típico de la gastronomía española, elaborado con diferentes ingredientes puestos en capas. En el primero se ponía un guiso de ajos, aceite de oliva, queso y huevos, todo ello aderezado con hierbas aromáticas, en la segunda capa se añadían las carnes (algunas de caza, mencionándose frecuentemente las perdices). El nombre dado proviene del capirote[1]​ sombrero que llevaban las gentes rústicas que de él se alimentaban. Era un plato que se comía en diferentes estamentos de la sociedad española del siglo XVII de gente humilde (a la que se incluía probablemente menos carne y queso) hasta los cortesanos más pudientes.",Root -> Categoría:Platos_de_España
Costrada,"La costrada hace referencia a varias preparaciones gastronómicas españolas: 

Costrada de Alcalá: es un milhojas de hojaldre, relleno de crema y merengue, y cubierto de almendra picada y gratinada.Costrada de Puentedeume: es una empanada gallega formada por varias capas de carne (pollo, rajo y jamón habitualmente) o pescado y marisco (rodaballo y vieiras), separadas por una masa.Costrada de Soria: es un milhojas de hojaldre, relleno de crema y nata, y cubierto de hojaldre picado y azúcar glas.",Root -> Categoría:Platos_de_España
Anexo:Gazpachos,"Los gazpachos se reparten por diversas regiones de la cocina española formando diversas composiciones que difieren en ingredientes, en formas de servirse. Todos ellos poseen un origen común en las gachas (sopas de pan de origen medieval), muchos de ellos poseen denominaciones diversas a lo largo de la geografía española como son: ajos, porras, gazpachos, salmorejos (elaborados con miga de pan), alboronías, etc. Poseen como característica común el uso de diferentes hortalizas que se majan o se pican finamente en una emulsión de agua y aceite de oliva.",Root -> Categoría:Platos_de_España
Gazpachos manchegos,"Los gazpachos manchegos o galianos son un plato manchego, concretamente de La Mancha y La Serranía de Cuenca, consistente en un guiso caldoso servido caliente a base de trozos de torta cenceña manchega troceada. El guiso está acompañado por carne de piezas menores como pueden ser conejo, pollo, liebre o perdiz. En algunas zonas se les añaden también setas (de cardo, de chopo o níscalos) o caracoles, pero en la mayoría de La Mancha los ingredientes son los anteriormente indicados. Debido a su cercanía geográfica y climática, este plato también es popular en el interior de la Comunidad Valenciana y de la Región de Murcia, sobre todo en las comarcas del Vinalopó y Altiplano murciano (Yecla y Jumilla), llegando hasta localidades costeras alicantinas donde se elaboran con pescado y marisco. En la provincia de Valencia se cocina ampliamente también en las comarcas del Valle de Ayora, la Hoya de Buñol, la Costera, Requena-Utiel,Canal de Navarrés, y algunas zonas de la Ribera alta,donde a veces se le cambia la denominación de manchego, por el del lugar donde se cocina (gazpacho ayorino, gazpacho enguerino...), aunque el plato se cocine esencialmente igual.",Root -> Categoría:Platos_de_España
Hígado encebollado,El hígado encebollado es un plato tradicional de muchas gastronomías.,Root -> Categoría:Platos_de_España
Melón con jamón,El melón con jamón es una especialidad típica de la cocina española originario de la cocina italiana y suele ser servida en los meses de primavera o verano. Los principales ingredientes son el melón (a ser posible debe estar curado) y unas lonchas de jamón (a ser posible de jamón serrano). La delicadeza de este plato consiste en la mezcla del dulce del melón y del aporte salado del jamón.,Root -> Categoría:Platos_de_España
