Categoría:Alimentos fermentados,"Fermented foods are foods produced or preserved by the action of microorganisms. In this context, fermentation typically refers to the fermentation of sugar to alcohol using yeast, but other fermentation processes involve the use of bacteria such as lactobacillus, including the making of foods such as yogurt and sauerkraut. The science of fermentation is known as zymology.  
Many pickled or soured foods are fermented as part of the pickling or souring process, but many are simply processed with brine, vinegar, or another acid such as lemon juice.",Root -> Categoría:Alimentos_por_tipo
Categoría:Alimentos ficticios,Food items or brands found only in fiction. See also fictional restaurants.,Root -> Categoría:Alimentos_por_tipo
Àmàlà,"Àmàlà is a local indigenous Yoruba food, native to the Yoruba ethnic group. It is made out of yam and/or cassava flour, or unripe plantain flour. Tubers of Yams are peeled, sliced, cleaned, dried and then blended into flour, it is also called èlùbọ́. Yams are white in colour but turn brown when dried. This gives àmàlà its colour. Àmàlà is consumed by the Yoruba people in Nigeria. Amala is native food to indigenous people of the Southwestern part of Nigeria. It could be served with a variety of ọbẹ (soups), such as ẹ̀fọ́, ilá, ewédú, ogbono, and or gbẹ̀gìrì (black-eyed beans soup).Amala is mostly enjoyed when served with ewedu and gbegiri soup.",Root -> Categoría:Alimentos_por_tipo -> Categoría:Alimentos básicos
Banana,"A banana is an elongated, edible fruit – botanically a berry – produced by several kinds of large herbaceous flowering plants in the genus Musa. In some countries, bananas used for cooking may be called ""plantains"", distinguishing them from dessert bananas. The fruit is variable in size, color, and firmness, but is usually elongated and curved, with soft flesh rich in starch covered with a rind, which may be green, yellow, red, purple, or brown when ripe. The fruits grow upward in clusters near the top of the plant. Almost all modern edible seedless (parthenocarp) bananas come from two wild species – Musa acuminata and Musa balbisiana. The scientific names of most cultivated bananas are Musa acuminata, Musa balbisiana, and Musa × paradisiaca for the hybrid Musa acuminata × M. balbisiana, depending on their genomic constitution. The old scientific name for this hybrid, Musa sapientum, is no longer used.
Musa species are native to tropical Indomalaya and Australia, and are likely to have been first domesticated in Papua New Guinea. They are grown in 135 countries, primarily for their fruit, and to a lesser extent to make fiber, banana wine, and banana beer and as ornamental plants. The world's largest producers of bananas in 2017 were India and China, which together accounted for approximately 38% of total production.Worldwide, there is no sharp distinction between ""bananas"" and ""plantains"". Especially in the Americas and Europe, ""banana"" usually refers to soft, sweet, dessert bananas, particularly those of the Cavendish group, which are the main exports from banana-growing countries. By contrast, Musa cultivars with firmer, starchier fruit are called ""plantains"". In other regions, such as Southeast Asia, many more kinds of banana are grown and eaten, so the binary distinction is not as useful and is not made in local languages.
The term ""banana"" is also used as the common name for the plants that produce the fruit. This can extend to other members of the genus Musa, such as the scarlet banana (Musa coccinea), the pink banana (Musa velutina), and the Fe'i bananas. It can also refer to members of the genus Ensete, such as the snow banana (Ensete glaucum) and the economically important false banana (Ensete ventricosum). Both genera are in the banana family, Musaceae.",Root -> Categoría:Alimentos_por_tipo -> Categoría:Alimentos básicos
Banana fe'i,"Fe'i bananas (also spelt Fehi or Féi) are cultivated plants in the genus Musa, used mainly for their fruit. Unlike most other cultivated bananas they are diploids of the AA-type. They are very distinct in appearance and origin from the majority of bananas and plantains currently grown. Found mainly in the islands of the Pacific, particularly French Polynesia, Fe'i bananas have skins which are brilliant orange to red in colour with yellow or orange flesh inside. They are usually eaten cooked and have been an important food for Pacific Islanders, moving with them as they migrated across the ocean. Most are high in beta-carotene (a precursor of vitamin A).
The botanical name for Fe'i bananas is Musa × troglodytarum L. Precisely which wild species they are descended from is unclear.",Root -> Categoría:Alimentos_por_tipo -> Categoría:Alimentos básicos
Bazín,"Bazin (Arabic: البازين, pronounced [baːˈziːn], is an unleavened bread in the cuisine of Libya prepared with barley, water and salt. Bazin is prepared by boiling barley flour in water and then beating it to create a dough using a magraf, which is a unique stick designed for this purpose. The dough may then be placed in a pan and allowed time to harden, after which it is baked or steamed. The salt contributes to the hardness of the bazin. Bazin may have a paste-like and hardened texture. It may also be prepared using whole wheat flour, olive oil and pepper as ingredients.Bazin is typically served with a tomato sauce, eggs, potatoes and mutton. This preparation method involves shaping the dough into the shape of a pyramid or dome, after which it may be served with a tomato-based soup or meat-and-potato stew poured atop or around it and garnished with hard-boiled eggs. A raw egg may also be placed in the hot soup. Aseeda is a dish prepared using bazin, honey, date syrup and butter or oil. Bazin may also be accompanied with a cooked pumpkin and tomato sauce mixture.When consumed, bazin may be ""crumpled and eaten with the fingers."" It is typically eaten using the right hand, and may be consumed communally. Bazin has been described as a traditional dish and as a national dish of Libya.",Root -> Categoría:Alimentos_por_tipo -> Categoría:Alimentos básicos
Calabaza gigante,"A pumpkin is a cultivar of winter squash that is round with smooth, slightly ribbed skin, and is most often deep yellow to orange in coloration. The thick shell contains the seeds and pulp. The name is most commonly used for cultivars of Cucurbita pepo, but some cultivars of Cucurbita maxima, C. argyrosperma, and C. moschata with similar appearance are also sometimes called ""pumpkins"".Native to North America (northeastern Mexico and the southern United States), pumpkins are one of the oldest domesticated plants, having been used as early as 7,000 to 5,500 BC. Pumpkins are widely grown for food, as well as for aesthetic and recreational purposes. Pumpkin pie, for instance, is a traditional part of Thanksgiving meals in Canada and the United States, and pumpkins are frequently carved as jack-o'-lanterns for decoration around Halloween, although commercially canned pumpkin purée and pumpkin pie fillings are usually made from varieties of winter squash different from the ones used for jack-o'-lanterns.",Root -> Categoría:Alimentos_por_tipo -> Categoría:Alimentos básicos
Èbà,"Ẹ̀bà is a essential food mainly eaten in the West African sub-region, particularly in Nigeria and parts of Ghana. It is specifically called Eba by the Yoruba people of South West region of Nigeria and other speaking-Yoruba states of the same country. It is a cooked starchy vegetable food made from dried grated cassava (manioc) flour, it is commonly known as garri. The dish is often described as having a slightly sour, sharp taste.To make ẹ̀bà, garri flour (which should be further blended if not already 'smooth') is mixed into hot water and stirred thoroughly and vigorously with a wooden spatula until it becomes a firm dough, that can be rolled into a ball. It can be made with different types of garri.To eat, a small amount of ẹ̀bà is taken with the fingers and rolled into a small ball and dipped into the ọbẹ̀ (a thick soup) such as okra soup, bitter leaf (ewúro) soup or pepper soup (ọbẹ̀ ata or ẹ̀fọ́ depending on dialect) with either okro, ọgbọnọ (Igbo)/ apọn (Yorùbá), or ewédú,  meat or fish, stewed vegetables or other sauces such as gbẹ̀gìrì, Amiedi (banga soup) or egusi soup (melon).Eba has a gross energy content of 381.5 kcal which is higher than other cassava products like fufu and lafun with 180 kcal and 357.7 respectively.However, it has a crude protein content of 0.9g/100g, slightly lower than fufu and lafun with 1.0g/100g and 1.1g/100g respectively.Eba is a food eaten by all ages. A child that started eating Eba from the age of one is said to be strong and agile.
Eba can serve as breakfast for some people and it can carry them all through the day. Some consumers of garri have stated that it makes them stronger and they hardly feel hungry.
For the  African culture, it is one food served among other delicacies in events ; be it burial ceremony, child dedication, house warming, traditional and modern wedding etc.
Garri has some other types. The Ijebu garri which aids in digestion.",Root -> Categoría:Alimentos_por_tipo -> Categoría:Alimentos básicos
Eddo,"Eddoe or eddo is a tropical vegetable often considered identifiable as the species Colocasia antiquorum, closely related to taro (dasheen, Colocasia esculenta), which is primarily used for its thickened stems (corms). In most cultivars there is an acrid taste that requires careful cooking. The young leaves can also be cooked and eaten, but (unlike taro) they have a somewhat acrid taste.",Root -> Categoría:Alimentos_por_tipo -> Categoría:Alimentos básicos
Garri,"In West Africa,  garri is the creamy granular flour obtained by processing the starchy tuberous roots of freshly harvested cassava. 
In the Hausa Language, the term ‘garri’ can also refer to the powdery granules obtained from processing other crops such as guinea corn, maize, rice, yam, plantain and millet. For example: garin dawa is obtained by processing guinea corn, and likewise, garin masara and garin alkama are derived from processing maize and wheat respectively. Garin magani is a powdery medicine.
Flour foodstuffs mixed with cold or boiled water are a major part of the diet amongst the various ethnicities of Nigeria, Benin Republic, Togo, Ghana, Guinea, Cameroon and Liberia.",Root -> Categoría:Alimentos_por_tipo -> Categoría:Alimentos básicos
Grano,"A grain is a small, hard, dry seed – with or without an attached hull or fruit layer – harvested for human or animal consumption. A grain crop is a grain-producing plant. The two main types of commercial grain crops are cereals and legumes.
After being harvested, dry grains are more durable than other staple foods, such as starchy fruits (plantains, breadfruit, etc.) and tubers (sweet potatoes, cassava, and more). This durability has made grains well suited to industrial agriculture, since they can be mechanically harvested, transported by rail or ship, stored for long periods in silos, and milled for flour or pressed for oil. Thus, the grain market is a major global commodity market that includes crops such as maize, rice, soybeans, wheat and other grains.",Root -> Categoría:Alimentos_por_tipo -> Categoría:Alimentos básicos
Pasta,"Pasta (US: , UK: ; Italian pronunciation: [ˈpasta]) is a type of food typically made from an unleavened dough of wheat flour mixed with water or eggs, and formed into sheets or other shapes, then cooked by boiling or baking. Rice flour, or legumes such as beans or lentils, are sometimes used in place of wheat flour to yield a different taste and texture, or as a gluten-free alternative. Pasta is a staple food of Italian cuisine.Pastas are divided into two broad categories: dried (pasta secca) and fresh (pasta fresca). Most dried pasta is produced commercially via an extrusion process, although it can be produced at home. Fresh pasta is traditionally produced by hand, sometimes with the aid of simple machines. Fresh pastas available in grocery stores are produced commercially by large-scale machines.
Both dried and fresh pastas come in a number of shapes and varieties, with 310 specific forms known by over 1,300 documented names. In Italy, the names of specific pasta shapes or types often vary by locale. For example, the pasta form cavatelli is known by 28 different names depending upon the town and region. Common forms of pasta include long and short shapes, tubes, flat shapes or sheets, miniature shapes for soup, those meant to be filled or stuffed, and specialty or decorative shapes.As a category in Italian cuisine, both fresh and dried pastas are classically used in one of three kinds of prepared dishes: as pasta asciutta (or pastasciutta), cooked pasta is plated and served with a complementary sauce or condiment; a second classification of pasta dishes is pasta in brodo, in which the pasta is part of a soup-type dish. A third category is pasta al forno, in which the pasta is incorporated into a dish that is subsequently baked in the oven. Pasta dishes are generally simple, but individual dishes vary in preparation. Some pasta dishes are served as a small first course or for light lunches, such as pasta salads. Other dishes may be portioned larger and used for dinner. Pasta sauces similarly may vary in taste, color and texture.In terms of nutrition, cooked plain pasta is 31% carbohydrates (mostly starch), 6% protein, and low in fat, with moderate amounts of manganese, but pasta generally has low micronutrient content. Pasta may be enriched or fortified, or made from whole grains.",Root -> Categoría:Alimentos_por_tipo -> Categoría:Alimentos básicos
Categoría:Cebada,This category contains articles related to the cereal crop barley.,Root -> Categoría:Alimentos_por_tipo -> Categoría:Alimentos básicos
Categoría:Cereales,"Cereals are the edible seeds of any grasses, and other seeds of similar use or characteristics.",Root -> Categoría:Alimentos_por_tipo -> Categoría:Alimentos básicos
Categoría:Huevos,"This category is for articles on bird eggs as food, including egg production, marketing and distribution, egg drinks, cooking techniques, egg substitutes and edible imitation eggs.
For dishes that have bird eggs as a main ingredient, see Category:Egg dishes. For fish eggs used as food, see Category:Roe.",Root -> Categoría:Alimentos_por_tipo -> Categoría:Alimentos básicos
Categoría:Maíz,"Maize, or Zea mays subsp mays, a cultivated subspecies also known as ""corn"" or ""sweet corn"" in many English-speaking countries.",Root -> Categoría:Alimentos_por_tipo -> Categoría:Alimentos básicos
Alubia carilla,"The black-eyed pea or black-eyed bean is a legume grown around the world for its medium-sized, edible bean. It is a subspecies of the cowpea, an Old World plant domesticated in Africa, and is sometimes simply called a cowpea.
The common commercial variety is called the California Blackeye; it is pale-colored with a prominent black spot. The American South has countless varieties, many of them heirloom, that vary in size from the small lady peas to very large ones. The color of the eye may be black, brown, red, pink, or green. All the peas are green when freshly shelled and brown or buff when dried. A popular variation of the black-eyed pea is the purple hull pea or mud-in-your-eye pea; it is usually green with a prominent purple or pink spot. The currently accepted botanical name for the black-eyed pea is Vigna unguiculata subsp. unguiculata, although previously it was classified in the genus Phaseolus.  Vigna unguiculata subsp. dekindtiana is the wild relative and Vigna unguiculata subsp. sesquipedalis is the related asparagus bean. Other beans of somewhat similar appearance, such as the frijol ojo de cabra (goat's-eye bean) of northern Mexico, are sometimes incorrectly called black-eyed peas, and vice versa.",Root -> Categoría:Alimentos_por_tipo -> Categoría:Alimentos de días festivos
Día del Rollo de Canela,"Cinnamon Roll Day (Swedish: Kanelbullens dag, Finnish: Korvapuustipäivä) falls on 4 October each year. It is an annual theme day created for marketing purposes in Sweden and Finland that was instituted in 1999 by Kaeth Gardestedt. At the time, she was a project manager for Home Baking Council (Hembakningsrådet) which was historically a trade group supported by yeast manufacturers, flour producers, sugar manufacturers, and margarine manufacturers, and is now supported by the Dansukker brand of sugar.",Root -> Categoría:Alimentos_por_tipo -> Categoría:Alimentos de días festivos
Categoría:Alimentos de Día de Acción de Gracias,Foods commonly served at Thanksgiving in the United States or in Canada.,Root -> Categoría:Alimentos_por_tipo -> Categoría:Alimentos de días festivos
Categoría:Alimentos de Halloween,Food associated with Halloween.,Root -> Categoría:Alimentos_por_tipo -> Categoría:Alimentos de días festivos
Alimento fermentado,"In food processing, fermentation is the conversion of carbohydrates to alcohol or organic acids using microorganisms—yeasts or bacteria—under anaerobic (oxygen-free) conditions. Fermentation usually implies that the action of microorganisms is desired. The science of fermentation is known as zymology or zymurgy.
The term ""fermentation"" sometimes refers specifically to the chemical conversion of sugars into ethanol, producing alcoholic drinks such as wine, beer, and cider. However, similar processes take place in the leavening of bread (CO2 produced by yeast activity), and in the preservation of sour foods with the production of lactic acid, such as in  sauerkraut and yogurt.
Other widely consumed fermented foods include vinegar, olives, and cheese. More localised foods prepared by fermentation may also be based on beans, grain, vegetables, fruit, honey, dairy products, and fish.",Root -> Categoría:Alimentos_por_tipo -> Categoría:Alimentos fermentados
Sandor Katz,"Sandor Ellix Katz (born May 20, 1962) is an American food writer and DIY food activist.",Root -> Categoría:Alimentos_por_tipo -> Categoría:Alimentos fermentados
Appam,"Appam is a type of pancake, originating from South India, made with fermented rice batter and coconut milk, common in Kerala Tamil Nadu and many other southern states in India. It is eaten most frequently for breakfast or dinner.",Root -> Categoría:Alimentos_por_tipo -> Categoría:Alimentos fermentados
Crème fraîche,"Crème fraîche (English pronunciation: , French pronunciation: [kʁɛm fʁɛʃ] (listen), lit. ""fresh cream"") is a dairy product, a soured cream containing 10–45% butterfat, with a pH of approximately 4.5. It is soured with a bacterial culture. European labeling regulations specify the two ingredients must be cream and bacterial culture. It is served over fruit and baked goods, as well as being added to soups and sauces. It is used in a variety of other recipes. Sour cream is a similar foodstuff, except that crème fraîche is less sour and has a higher fat content. Sour cream may contain thickening agents not permitted in crème fraîche in many jurisdictions.

The name crème fraîche is French, but similar soured creams are found in much of northern Europe, and a traditional soured cream (crema fresca in Spanish) used in Central America resembles it.",Root -> Categoría:Alimentos_por_tipo -> Categoría:Alimentos fermentados
Cultivos alimenticios microbianos,"Microbial food cultures are live bacteria, yeasts or moulds used in food production. Microbial food cultures carry out the fermentation process in foodstuffs. Used by humans since the Neolithic period (around 10 000 years BC) fermentation helps to preserve perishable foods and to improve their nutritional and organoleptic qualities (in this case, taste, sight, smell, touch). As of 1995, fermented food represented between one quarter and one third of food consumed in Central Europe.  More than 260 different species of microbial food culture are identified and described for their beneficial use in fermented food products globally, showing the importance of their use.
The scientific rationale of the function of microbes in fermentation started to be built with the discoveries of Louis Pasteur in the second half of the 19th century. Extensive scientific study continues to characterize microbial food cultures traditionally used in food fermentation taxonomically, physiologically, biochemically and genetically. This allows better understanding and improvement of traditional food processing and opens up new fields of applications.",Root -> Categoría:Alimentos_por_tipo -> Categoría:Alimentos fermentados
Curtido,"Curtido (Spanish pronunciation: [kuɾˈtiðo]) is a type of lightly fermented cabbage relish. It is typical in Salvadoran cuisine and that of other Central American countries, and  is usually made with cabbage, onions, carrots, oregano, and sometimes lime juice; it resembles sauerkraut, kimchi, or tart coleslaw. It is commonly served alongside pupusas, the national delicacy.
Fellow Central American country Belize has a similar recipe called ""curtido"" by its Spanish speakers; however, it is a spicy, fermented relish made with onions, habaneros, and vinegar. It is used to top salbutes, garnaches, and other common dishes in Belizean cuisine.",Root -> Categoría:Alimentos_por_tipo -> Categoría:Alimentos fermentados
Dosa,"A dosa / dosai / dosey is a thin batter-based dish (usually crispy) originating from South India, made from a fermented batter predominantly consisting of lentils and rice. Its main ingredients are rice and black gram, ground together in a fine, smooth batter with a dash of salt, then fermented. Dosas are a common dish in South Indian cuisine, but now have been popular all over the Indian subcontinent. Dosas are served hot along with chutney by tradition and sambar in recent times. Chutney is a fine paste made 
up of groundnut, coconut and lentil.",Root -> Categoría:Alimentos_por_tipo -> Categoría:Alimentos fermentados
Fermentación en estado sólido,"Solid state fermentation (SSF) is a biomolecule manufacturing process used in the food, pharmaceutical, cosmetic, fuel and textile industries. These biomolecules are mostly metabolites generated by microorganisms grown on a solid support selected for this purpose. This technology for the culture of microorganisms is an alternative to liquid or submerged fermentation, used predominantly for industrial purposes.",Root -> Categoría:Alimentos_por_tipo -> Categoría:Alimentos fermentados
Fermentación láctica,"Lactic acid fermentation is a metabolic process by which glucose or other six-carbon sugars (also, disaccharides of six-carbon sugars, e.g. sucrose or lactose) are converted into cellular energy and the metabolite lactate, which is lactic acid in solution. It is an anaerobic fermentation reaction that occurs in some bacteria and animal cells, such as muscle cells.If oxygen is present in the cell, many organisms will bypass fermentation and undergo cellular respiration; however, facultative anaerobic organisms will both ferment and undergo respiration in the presence of oxygen. Sometimes even when oxygen is present and aerobic metabolism is happening in the mitochondria, if pyruvate is building up faster than it can be metabolized, the fermentation will happen anyway.
Lactate dehydrogenase catalyzes the interconversion of pyruvate and lactate with concomitant interconversion of NADH and NAD+.
In homolactic fermentation, one molecule of glucose is ultimately converted to two molecules of lactic acid. Heterolactic fermentation, in contrast, yields carbon dioxide and ethanol in addition to lactic acid, in a process called the phosphoketolase pathway.",Root -> Categoría:Alimentos_por_tipo -> Categoría:Alimentos fermentados
Gochujang,"Gochujang (, from Korean: 고추장; gochu-jang, [ko.tɕʰu.dʑaŋ]) or red chili paste is a savory, sweet, and spicy fermented condiment popular in Korean cooking. It is made from gochu-garu (chili powder), glutinous rice, meju (fermented soybean) powder, yeotgireum (barley malt powder), and salt. The sweetness comes from the starch of cooked glutinous rice, cultured with saccharifying enzymes during the fermentation process. Traditionally, it has been naturally fermented over years in jangdok (earthenware) on an elevated stone platform, called jangdokdae, in the backyard.
The Sunchang Gochujang Festival is held annually in Gochujang Village in Sunchang County, North Jeolla Province, South Korea.",Root -> Categoría:Alimentos_por_tipo -> Categoría:Alimentos fermentados
Gravlax,"Gravlax (Swedish: [ˈgrɑ̂ːvlakːs]) or graved salmon is a Nordic dish consisting of salmon that is cured using a mix of salt and sugar, and either dill or sprucetwigs placed on top, and may occasionally be cold-smoked afterwards. Gravlax is usually served as an appetizer, sliced thinly and accompanied by hovmästarsås (literally ""maitre d'hôtel sauce"", also known in Sweden as gravlaxsås, in Norway as sennepssaus, literally “mustard sauce”, in Denmark as rævesovs, literally ""fox sauce"", and in Iceland as graflaxsósa), a dill and mustard sauce, either on bread or with boiled potatoes.",Root -> Categoría:Alimentos_por_tipo -> Categoría:Alimentos fermentados
Katsuobushi,"Katsuobushi (Japanese: 鰹節) is simmered, smoked  and fermented skipjack tuna (Katsuwonus pelamis, sometimes referred to as bonito). It is also known as bonito flakes. Katsuobushi or similarly prepared fish is also known as okaka (おかか).
Shaved katsuobushi and dried kelp—kombu—are the main ingredients of dashi, a broth that forms the basis of many soups (such as miso) and sauces (e.g., soba no tsukejiru) in Japanese cuisine.
Katsuobushi's distinct umami taste comes from its high inosinic acid content. Traditionally made katsuobushi, known as karebushi, is deliberately fermented with Aspergillus glaucus fungus in order to reduce moisture. Katsuobushi has also been shown to impart ""kokumi"" (i.e. enhances flavor).",Root -> Categoría:Alimentos_por_tipo -> Categoría:Alimentos fermentados
Kiviak,"Kiviak or kiviaq is a traditional wintertime Inuit food from Greenland that is made of little auks (Alle alle), a type of seabird, fermented in a seal skin.
Up to 500 whole auks are packed into the seal skin, beaks and feathers included. As much air as possible is removed from the seal skin before it is sewn up and sealed with seal fat, which repels flies.  It is then hidden in a heap of stones, with a large rock placed on top to keep the air out. Over the course of three months, the birds ferment, and are then eaten during the Arctic winter, particularly on birthdays and weddings.The process was featured in the third episode of BBC's Human Planet in 2011.In August 2013 several people died in Siorapaluk from eating kiviak that was made from eider rather than auk.  Eider does not ferment as well as auk, and gave those who ate it botulism.",Root -> Categoría:Alimentos_por_tipo -> Categoría:Alimentos fermentados
Ogi,"Ogi (or Akamu)  is a fermented cereal pudding and popular street food from Nigeria, typically made from maize, sorghum, or millet. Traditionally, the grains are soaked in water for up to three days, before wet-milling and sieving to remove husks. The filtered cereal is then allowed to ferment for up to three days until sour. It is then boiled into a pap , or cooked to make a creamy pudding also known as Agidi or Eko. It may be eaten with moin moin, akara/acarajé or bread depending on individual choice.
In Kenya the porridge is known as uji (not to be confused with ugali) and is generally made with millet and sorghum. It is commonly served for breakfast and dinner, but often has a thinner gravy-like consistency.The fermentation of ogi is performed by various lactic acid bacteria including Lactobacillus spp and various yeasts including Saccharomyces and Candida spp.",Root -> Categoría:Alimentos_por_tipo -> Categoría:Alimentos fermentados
Paniyaram,"Paddu is an Indian dish made by steaming batter using a mould. It is named variously kuzhi paniyaram (Tamil: குழி பணியாரம்), paniyaram (Malayalam: പണിയാരം), paddu, guliyappa, yeriyappa, gundponglu (Kannada: ಪಡ್ಡು, ಗುಳಿಯಪ್ಪ, ಎರಿಯಪ್ಪ), gunta ponganalu (Telugu: గుంట పొంగణాలు), or Tulu: appadadde, appe (Marathi: आप्पे) . The batter is made of black lentils and rice and is similar in composition to the batter used to make idli and dosa. The dish can also be made spicy or sweet with chillies or jaggery respectively. Paniyaram is made on a special pan that comes with multiple small indentations.",Root -> Categoría:Alimentos_por_tipo -> Categoría:Alimentos fermentados
Pasta de judía fermentada,"Fermented bean paste is a category of fermented foods typically made from ground soybeans, which are indigenous to the cuisines of East, South and Southeast Asia. In some cases, such as the production of miso, other varieties of beans, such as broad beans, may also be used.The pastes are usually salty and savoury, but may also be spicy, and are used as a condiment to flavour foods such as stir-fries, stews, and soups. The colours of such pastes range from light tan to reddish brown and dark brown. The differences in colour are due to different production methods, such as the conditions of fermentation, the addition of wheat flour, pulverized mantou, rice, or sugar and the presence of different microflora, such as bacteria or molds used in their production, as well as whether the soybeans are roasted (as in chunjang) or aged (as in tauco) before being ground.
Fermented bean pastes are sometimes the starting material used in producing soy sauces, such as tamari, or an additional product created from the same fermented mass. The paste is also the main ingredient of hoisin sauce.Due to the protein content of the beans, the fermentation process releases a large amount of free amino acids, which when combined with the large amounts of salt used in its production, produces a highly umami product. This is particularly true with miso, which can be used as the primary ingredient in certain dishes, such as miso soup.",Root -> Categoría:Alimentos_por_tipo -> Categoría:Alimentos fermentados
Producto fermentado de la leche,"Fermented milk products or fermented dairy products, also known as cultured dairy foods, cultured dairy products, or cultured milk products, are dairy foods that have been fermented with lactic acid bacteria such as Lactobacillus, Lactococcus, and Leuconostoc. The fermentation process increases the shelf life of the product while enhancing its taste and improving the digestibility of its milk.  There is evidence that fermented milk products have been produced since around 10,000 BC. A range of different Lactobacilli strains has been grown in laboratories allowing for many cultured milk products with different flavors and characteristics.",Root -> Categoría:Alimentos_por_tipo -> Categoría:Alimentos fermentados
Puto,"Puto is a Filipino steamed rice cake, traditionally made from slightly fermented rice dough (galapong). It is eaten as is or as an accompaniment to a number of savoury dishes (most notably, dinuguan). Puto is also an umbrella term for various kinds of indigenous steamed cakes, including those made without rice. It is a sub-type of kakanin (rice cakes).",Root -> Categoría:Alimentos_por_tipo -> Categoría:Alimentos fermentados
Queso crema,"Cream cheese is a soft, usually mild-tasting fresh cheese made from milk and cream. Stabilizers such as carob bean gum and carrageenan are often added in industrial production.The U.S. Food and Drug Administration defines cream cheese as containing at least 33% milk fat with a moisture content of not more than 55%, and a pH range of 4.4 to 4.9. Similarly, under Canadian Food and Drug Regulations cream cheese must contain at least 30% milk fat and a maximum of 55% moisture. In other countries, it is defined differently and may need a considerably higher fat content.Cream cheese is not naturally matured and is meant to be consumed fresh, so it differs from other soft cheeses such as brie and Neufchâtel. It is more comparable in taste, texture, and production methods to Boursin and mascarpone.",Root -> Categoría:Alimentos_por_tipo -> Categoría:Alimentos fermentados
Salsa HP,"HP Sauce is a British brown sauce, the main ingredients of which are tomatoes and tamarind extract. It was named after London's Houses of Parliament. After making its first appearance on British dinner tables in the late 19th century, HP Sauce went on to become an icon of British culture. It was the best-selling brand of brown sauce in the UK in 2005, with 73.8% of the retail market. The sauce was originally produced in the United Kingdom, but is now made by Heinz in the Netherlands. 
HP Sauce has a tomato base, blended with malt vinegar and spirit vinegar, sugars (molasses, glucose-fructose syrup, sugar), dates, cornflour, rye flour, salt, spices and tamarind. It is used as a condiment with hot and cold savoury food, and as an ingredient in soups and stews.
The picture on the front of the bottle is a selection of London landmarks including Elizabeth Tower, the Palace of Westminster, and Westminster Bridge.",Root -> Categoría:Alimentos_por_tipo -> Categoría:Alimentos fermentados
Shiokara,"Shiokara (塩辛) lit. 'salty-spicy', is a food in Japanese cuisine made from various marine animals that consists of small pieces of meat in a brown viscous paste of the animal's heavily salted, fermented viscera.The raw viscera are mixed with about 10% salt, 30% malted rice, packed in a closed container, and fermented for up to a month. Shiokara is sold in glass or plastic containers.
The flavor is similar in saltiness and fishiness to that of European cured anchovies, but with a different texture. One of the best-known chinmi (""rare tastes""), it is quite strong and is considered something of an acquired taste even for the native Japanese palate.
It was a valuable protein in post-war Japan because food was scarce and it did not require refrigeration. It continued to be eaten as a condiment for rice and in bars.One method of enjoying it is to consume the serving at one gulp and to follow it with a shot of straight whisky. Some bars in Japan specialize in shiokara.",Root -> Categoría:Alimentos_por_tipo -> Categoría:Alimentos fermentados
Ssamjang,"Ssamjang (Korean: 쌈장) is a thick, spicy paste used with food wrapped in a leaf in Korean cuisine. The sauce is made of fermented soy beans (doenjang), red chili paste (gochujang), sesame oil, onion, garlic, green onions, and optionally brown sugar.",Root -> Categoría:Alimentos_por_tipo -> Categoría:Alimentos fermentados
